parents,random,edges,time
10,49,76,0.00010585784912109375
10,283,320,0.0003809928894042969
10,244,259,0.0002932548522949219
10,237,264,0.00032210350036621094
10,331,369,0.0004417896270751953
10,1,20,3.5762786865234375e-05
10,50,66,8.416175842285156e-05
10,299,327,0.0003657341003417969
10,78,105,0.00012564659118652344
10,220,257,0.0002887248992919922
10,109,145,0.00016760826110839844
10,97,112,0.0001323223114013672
10,359,398,0.0004489421844482422
10,291,335,0.00040650367736816406
10,31,53,6.890296936035156e-05
10,216,248,0.0003104209899902344
10,163,183,0.0002238750457763672
10,200,228,0.0002665519714355469
10,116,122,0.00016236305236816406
10,46,78,9.465217590332031e-05
40,5319,5452,0.007004499435424805
40,4935,5069,0.006125688552856445
40,5859,6067,0.008233070373535156
40,4798,4908,0.006101131439208984
40,1810,1837,0.0022020339965820312
40,3010,3206,0.0038182735443115234
40,1807,1883,0.002214193344116211
40,5301,5508,0.006663084030151367
40,1407,1517,0.001798391342163086
40,2817,2995,0.003545999526977539
40,2192,2322,0.002718687057495117
40,3035,3094,0.003721952438354492
40,5373,5523,0.00670313835144043
40,4363,4509,0.005532741546630859
40,2193,2348,0.0027441978454589844
40,2164,2297,0.0027031898498535156
40,5453,5605,0.006779670715332031
40,1017,1071,0.0012733936309814453
40,3570,3659,0.004368782043457031
40,1337,1425,0.001628875732421875
80,12497,12731,0.0161740779876709
80,22713,23118,0.031222105026245117
80,23775,24080,0.03198862075805664
80,22887,23255,0.031049489974975586
80,17931,18247,0.02347087860107422
80,2526,2613,0.0030612945556640625
80,22924,23237,0.030325651168823242
80,14116,14391,0.018584489822387695
80,14480,14776,0.018726110458374023
80,17836,18053,0.02327132225036621
80,20853,21179,0.02904486656188965
80,780,893,0.0010714530944824219
80,9595,9827,0.012352705001831055
80,1142,1312,0.0015299320220947266
80,7739,7979,0.010027647018432617
80,8308,8623,0.010727405548095703
80,12075,12210,0.015561819076538086
80,22360,22766,0.030007362365722656
80,2591,2840,0.0033655166625976562
80,5268,5500,0.006688833236694336
120,25478,25703,0.03604531288146973
120,17912,18229,0.02351522445678711
120,17960,18343,0.023473501205444336
120,43911,44300,0.0644540786743164
120,49253,49660,0.07326674461364746
120,14038,14207,0.017962217330932617
